r	vel	e_vel
10.234	215.96	6.59
10.871	228.03	3.09
10.429	228.91	3.64
12.718	247.09	6.9
10.701	212.28	6.48
13.469	221.15	3.7
10.449	223.88	3.65
11.149	235.76	4.02
10.186	212.83	3.79
13.651	216.5	3.99
9.818	215.64	2.52
10.886	230.17	3.31
11.489	228.86	3.38
9.373	223.91	3.62
10.11	227.34	4.35
8.344	242.29	2.99
9.317	221.54	2.76
8.211	222.03	1.95
8.639	237.17	3.22
8.752	235.68	4.22
11.66	212.73	4.67
15.839	234.49	6.43
10.536	202.77	4.78
10.397	222.8	4.69
10.211	218.12	3.91
9.422	221.08	3.21
8.067	219.89	2.99
9.762	216.53	5.56
8.813	226.06	5.2
9.707	234.53	2.49
10.073	240.45	4.75
10.704	239.43	4.31
9.833	220.34	2.16
10.064	217.06	3.63
8.484	223.38	1.8
9.527	225.67	2.67
13.321	240.72	38.14
8.243	250.08	3.83
8.783	193.25	1.28
11.793	232.6	5.27
8.671	240.87	3.72
9.198	224.27	6.45
8.957	217.84	8.14
8.648	233.79	1.88
9.416	212.29	2.44
8.505	231.53	4.43
8.311	252.79	7.17
10.436	192.35	6.25
10.014	219.36	4.47
10.031	224.45	4.37
9.547	223.51	5.82
9.187	217.45	2.17
10.61	238.16	7.45
12.944	194.95	7.83
8.755	230.93	6.03
8.452	219.67	15.76
8.112	238.58	2.49
9.173	244.96	3.54
8.795	229.41	6.03
9.658	215.4	4.42
8.787	216.53	5.4
8.335	224.22	4.09
9.688	183.24	3.89
8.507	225.57	6.04
19.53	256.11	14.56
9.01	227.17	4.01
8.903	235.79	6.23
9.161	218.5	2.73
10.692	235.56	3.53
10.331	213.47	4.77
8.037	256.71	2.74
9.495	191.83	2.51
11.168	183.43	4.43
8.531	216.54	3.32
8.479	261.92	3.89
8.685	220.94	4.77
8.611	231.6	3.83
8.464	214.1	7.01
8.231	217.06	7.79
8.418	240.25	3.04
8.877	257.36	4.47
8.584	231.14	12.53
9.441	224.54	3.3
8.571	231.32	1.52
8.173	231.6	7.19
8.389	256.75	1.83
8.77	235.48	3.51
8.822	233.01	4.79
8.17	229.83	11.39
10.8	215.37	6.55
10.07	215.07	8.15
8.594	239.21	3.79
7.946	208.03	5.81
8.867	209.34	10.71
8.711	208.25	1.89
7.832	220.69	1.31
8.189	232.36	3.77
7.921	218.79	3.73
7.887	232.84	1.26
8.184	226.04	10.27
7.911	256.63	16.09
9.343	221.28	5.89
8.471	234.28	6.38
8.612	217.1	8.88
8.293	219.47	4.69
7.925	245.97	5.67
8.189	246.59	3.26
8.093	242.21	4.31
8.119	228.39	12.31
8.225	217.05	2.3
7.887	239.11	10.85
7.828	238.61	5.52
7.933	243.02	2.66
7.803	237.66	6.45
8.002	234.71	13.05
8.31	243.96	2.98
7.937	232.75	2.61
7.794	235.35	14.13
7.97	235.26	3.67
8.066	243.73	1.73
7.844	240.19	4.87
8.031	218.9	1.18
11.477	232.55	13.18
8.127	222.14	5.29
8.264	230.46	4.49
8.039	214.74	7.57
7.806	205.09	3.15
8.198	214.51	10.29
7.848	219.29	9.22
7.938	221.4	7.85
7.832	225.18	3.45
7.899	230.46	6.07
7.781	240.64	4.36
7.923	226.89	3.78
7.71	243.72	4.39
9.049	220.05	15.4
7.781	223.9	1.57
8.613	207.71	8.88
7.701	219.8	6.3
8.794	227.36	7.32
7.773	229.22	1.53
7.99	236.58	4.99
7.768	209.87	7.11
7.777	221.83	4.56
7.764	234.28	7.82
7.692	245.21	7.56
7.85	231.5	2.37
8.195	231.63	7.09
8.583	218.14	8.28
9.345	235.16	7.36
8.066	238.76	6.46
7.692	237.51	10.38
7.807	249.01	4.84
8.31	213.34	2.47
7.805	235.91	6.23
7.848	204.76	3.95
7.798	232.93	6.49
8.527	212.5	7.77
8.217	222.32	3.59
8.157	213.47	3
7.56	236.82	17.25
7.725	215.05	4.5
7.639	223.85	2.12
7.883	214.65	6.66
8.303	227.05	8.51
8.74	225.7	2.43
8.42	218.15	6.79
7.699	239.11	7.67
8.907	220.65	7.05
7.544	234.04	9.57
7.715	218.95	3.29
7.782	251.2	3.86
7.564	236.46	3.01
7.725	243.03	4.07
7.662	248.54	1.99
7.642	249.47	2.01
7.553	235.44	9.67
8.233	209.38	12.51
9.399	217.29	5.79
7.535	221.79	8.49
7.608	239.51	9.79
7.562	233.17	1.66
7.564	258.89	5.54
7.409	269.58	2.35
7.557	249.25	1.46
9.956	201.58	6.63
7.375	238.37	5.13
